Id,SalePrice
1461,114114
1462,157799
1463,192128
1464,215245
1465,179547
1466,183461
1467,191118
1468,179288
1469,193921
1470,114059
1471,195098
1472,94515
1473,94783
1474,143125
1475,84682
1476,323687
1477,249912
1478,293762
1479,283639
1480,430277
1481,307460
1482,215483
1483,184894
1484,172829
1485,200935
1486,208980
1487,300782
1488,247206
1489,195314
1490,244777
1491,205423
1492,82796
1493,204458
1494,284680
1495,272777
1496,230462
1497,167377
1498,160588
1499,163501
1500,163832
1501,209878
1502,153287
1503,279261
1504,244635
1505,236931
1506,201415
1507,255350
1508,203944
1509,154841
1510,161955
1511,144291
1512,189861
1513,141361
1514,168474
1515,215343
1516,167263
1517,172487
1518,121291
1519,237492
1520,123070
1521,125574
1522,204149
1523,88762
1524,98772
1525,106754
1526,96265
1527,110637
1528,134495
1529,139146
1530,221878
1531,144138
1532,103856
1533,145958
1534,116584
1535,159563
1536,106532
1537,78787
1538,165492
1539,199357
1540,118833
1541,145066
1542,133031
1543,182547
1544,77953
1545,103822
1546,148269
1547,138282
1548,124135
1549,122842
1550,141074
1551,111538
1552,146810
1553,160394
1554,104345
1555,179227
1556,76146
1557,99784
1558,83590
1559,79195
1560,124683
1561,128417
1562,125971
1563,113677
1564,164460
1565,157412
1566,242051
1567,73413
1568,248896
1569,145186
1570,142868
1571,110388
1572,145916
1573,231345
1574,134269
1575,236700
1576,265407
1577,190908
1578,147627
1579,141350
1580,199968
1581,159706
1582,123915
1583,307106
1584,234855
1585,153056
1586,61814
1587,86717
1588,147791
1589,107701
1590,122495
1591,82453
1592,146068
1593,124778
1594,115400
1595,114275
1596,220464
1597,184361
1598,200333
1599,172689
1600,171451
1601,43497
1602,115169
1603,60736
1604,264893
1605,249214
1606,165784
1607,168813
1608,234462
1609,188509
1610,165009
1611,148753
1612,188646
1613,195417
1614,129530
1615,85655
1616,66549
1617,81741
1618,109508
1619,148339
1620,185523
1621,132977
1622,145511
1623,261300
1624,235307
1625,106550
1626,201727
1627,203293
1628,272711
1629,176971
1630,303875
1631,210418
1632,222160
1633,183017
1634,203283
1635,189390
1636,163727
1637,211583
1638,208108
1639,201657
1640,240640
1641,188771
1642,240202
1643,220416
1644,231061
1645,226678
1646,169960
1647,159502
1648,128883
1649,137436
1650,126453
1651,124947
1652,100432
1653,98407
1654,143132
1655,117168
1656,135677
1657,147046
1658,146618
1659,102067
1660,162889
1661,397275
1662,326440
1663,336035
1664,409104
1665,296264
1666,317984
1667,326302
1668,315644
1669,284995
1670,316668
1671,280864
1672,379777
1673,294455
1674,260053
1675,210564
1676,211322
1677,230655
1678,409585
1679,348311
1680,294763
1681,247993
1682,308980
1683,201975
1684,196278
1685,191051
1686,181223
1687,182174
1688,212689
1689,211672
1690,216445
1691,204968
1692,258766
1693,171540
1694,195114
1695,168789
1696,269972
1697,177288
1698,325605
1699,309658
1700,264052
1701,270795
1702,252341
1703,259857
1704,278369
1705,252830
1706,359569
1707,216509
1708,211598
1709,271280
1710,231069
1711,276701
1712,261279
1713,272218
1714,225341
1715,205200
1716,188476
1717,188279
1718,135564
1719,214343
1720,233357
1721,177589
1722,126625
1723,171732
1724,215730
1725,234236
1726,190060
1727,152745
1728,184274
1729,167553
1730,162365
1731,112020
1732,140550
1733,102911
1734,108111
1735,121300
1736,92727
1737,302671
1738,249581
1739,258293
1740,237244
1741,211857
1742,182987
1743,186288
1744,306402
1745,217247
1746,190540
1747,221670
1748,230734
1749,154906
1750,128503
1751,257647
1752,100810
1753,156664
1754,207653
1755,178979
1756,136073
1757,104666
1758,163753
1759,178379
1760,184937
1761,184015
1762,179993
1763,175089
1764,102888
1765,166600
1766,203660
1767,248778
1768,140050
1769,173134
1770,161184
1771,108207
1772,126657
1773,130688
1774,165323
1775,128554
1776,120525
1777,94882
1778,137712
1779,130117
1780,176789
1781,112038
1782,75374
1783,159595
1784,106224
1785,120219
1786,160521
1787,172321
1788,56077
1789,103587
1790,77033
1791,219460
1792,161356
1793,134116
1794,168405
1795,119451
1796,118035
1797,133546
1798,107776
1799,91147
1800,103597
1801,130800
1802,145797
1803,158322
1804,136227
1805,131893
1806,118779
1807,142577
1808,130872
1809,129941
1810,143778
1811,83115
1812,96592
1813,111856
1814,82747
1815,48155
1816,83879
1817,125068
1818,155658
1819,129514
1820,59836
1821,100252
1822,158131
1823,35805
1824,138347
1825,143172
1826,95410
1827,98376
1828,139131
1829,163188
1830,147331
1831,144873
1832,89165
1833,131370
1834,115283
1835,142491
1836,112006
1837,86848
1838,112360
1839,91092
1840,157590
1841,123156
1842,89676
1843,151350
1844,126308
1845,148123
1846,147363
1847,176515
1848,40884
1849,119960
1850,108581
1851,137306
1852,124465
1853,132591
1854,163585
1855,146336
1856,241933
1857,145323
1858,131860
1859,106922
1860,156767
1861,108084
1862,313375
1863,306751
1864,306767
1865,319039
1866,313450
1867,240699
1868,298093
1869,221904
1870,235173
1871,258576
1872,195931
1873,248137
1874,151781
1875,203150
1876,215512
1877,215968
1878,220886
1879,123868
1880,129773
1881,260865
1882,251809
1883,191402
1884,204279
1885,237457
1886,276423
1887,231553
1888,274766
1889,190748
1890,127894
1891,132042
1892,84559
1893,120108
1894,122410
1895,138167
1896,117286
1897,122406
1898,112780
1899,152927
1900,142126
1901,165437
1902,146711
1903,204828
1904,138332
1905,200432
1906,161468
1907,218801
1908,110367
1909,144524
1910,123732
1911,219690
1912,292987
1913,197355
1914,50996
1915,281020
1916,44250
1917,244431
1918,137382
1919,182456
1920,171995
1921,345828
1922,296619
1923,226352
1924,258331
1925,218580
1926,340137
1927,125355
1928,175861
1929,107644
1930,118795
1931,148626
1932,138780
1933,188211
1934,192025
1935,186951
1936,195708
1937,191794
1938,181852
1939,229956
1940,182132
1941,182906
1942,184708
1943,203501
1944,314775
1945,322876
1946,149407
1947,268364
1948,186290
1949,240246
1950,195337
1951,256781
1952,217747
1953,197185
1954,196423
1955,129948
1956,296656
1957,163428
1958,293050
1959,141691
1960,90273
1961,121524
1962,90432
1963,110882
1964,106789
1965,130424
1966,122174
1967,289826
1968,370847
1969,338874
1970,363217
1971,395450
1972,343488
1973,275672
1974,312294
1975,409999
1976,284816
1977,347914
1978,321805
1979,304267
1980,211734
1981,321510
1982,227619
1983,210744
1984,179811
1985,240975
1986,230524
1987,194200
1988,197860
1989,208641
1990,227945
1991,236864
1992,237026
1993,186687
1994,226668
1995,197372
1996,281995
1997,290569
1998,305753
1999,282424
2000,293549
2001,286255
2002,251864
2003,264536
2004,291241
2005,227750
2006,216835
2007,260168
2008,227321
2009,207133
2010,204253
2011,146144
2012,182162
2013,180371
2014,193535
2015,201010
2016,202796
2017,197772
2018,118251
2019,140852
2020,84782
2021,83283
2022,204144
2023,138999
2024,287431
2025,333929
2026,172288
2027,166450
2028,155719
2029,171393
2030,254798
2031,232616
2032,233868
2033,238836
2034,170701
2035,236412
2036,212298
2037,212011
2038,266628
2039,204247
2040,308616
2041,274108
2042,212630
2043,178161
2044,187859
2045,200175
2046,133705
2047,140108
2048,147974
2049,149007
2050,158188
2051,96907
2052,122762
2053,148958
2054,65185
2055,157270
2056,151169
2057,104478
2058,237268
2059,144888
2060,186413
2061,187354
2062,116434
2063,99409
2064,140687
2065,108346
2066,183538
2067,142402
2068,143716
2069,73869
2070,94017
2071,103543
2072,172865
2073,133774
2074,190856
2075,151372
2076,120197
2077,150038
2078,110234
2079,133997
2080,100879
2081,104714
2082,134105
2083,137892
2084,90506
2085,101133
2086,138304
2087,125376
2088,103913
2089,62254
2090,129246
2091,101732
2092,148376
2093,123893
2094,117471
2095,138631
2096,71852
2097,101030
2098,146370
2099,40080
2100,89062
2101,126543
2102,122082
2103,93557
2104,124010
2105,140925
2106,51572
2107,218618
2108,116255
2109,103830
2110,129716
2111,135824
2112,136392
2113,108166
2114,110972
2115,152114
2116,121274
2117,158636
2118,106876
2119,100892
2120,120337
2121,95383
2122,117193
2123,81411
2124,159692
2125,146991
2126,171389
2127,170141
2128,123798
2129,82831
2130,127527
2131,161252
2132,119035
2133,129380
2134,128818
2135,103789
2136,51792
2137,111607
2138,130290
2139,150807
2140,138222
2141,144592
2142,122486
2143,143833
2144,100300
2145,146207
2146,168216
2147,171592
2148,142115
2149,143931
2150,229978
2151,101830
2152,174635
2153,189040
2154,93900
2155,142765
2156,254620
2157,251728
2158,235194
2159,213985
2160,199892
2161,251700
2162,368154
2163,339110
2164,247223
2165,193177
2166,163956
2167,227007
2168,200760
2169,197406
2170,216697
2171,157258
2172,145020
2173,176060
2174,233914
2175,280979
2176,288203
2177,238283
2178,224674
2179,147895
2180,225915
2181,198217
2182,228639
2183,196652
2184,120538
2185,122647
2186,157927
2187,157897
2188,155854
2189,314193
2190,58330
2191,59791
2192,72860
2193,109890
2194,113311
2195,91180
2196,86982
2197,116349
2198,158020
2199,192224
2200,146614
2201,147551
2202,179372
2203,149867
2204,165135
2205,102400
2206,142559
2207,206271
2208,251070
2209,226217
2210,118296
2211,113022
2212,110176
2213,96180
2214,138332
2215,97050
2216,146035
2217,56703
2218,61333
2219,61400
2220,56095
2221,283329
2222,267452
2223,294795
2224,231217
2225,127792
2226,207810
2227,215228
2228,272473
2229,255631
2230,157966
2231,221611
2232,203979
2233,198441
2234,256492
2235,229471
2236,266544
2237,327143
2238,220543
2239,108617
2240,166727
2241,162383
2242,131307
2243,129342
2244,104468
2245,93779
2246,124881
2247,128133
2248,116430
2249,114291
2250,121958
2251,108632
2252,200461
2253,163905
2254,182189
2255,209610
2256,172247
2257,219954
2258,160481
2259,189297
2260,163806
2261,189454
2262,196069
2263,332123
2264,412350
2265,193250
2266,267016
2267,343322
2268,347219
2269,160800
2270,204040
2271,221031
2272,222099
2273,166803
2274,205466
2275,187182
2276,183676
2277,193843
2278,160375
2279,115181
2280,99671
2281,179873
2282,191955
2283,108134
2284,110920
2285,121210
2286,118060
2287,325375
2288,280777
2289,329311
2290,376917
2291,309850
2292,371581
2293,389276
2294,343720
2295,405803
2296,280475
2297,318925
2298,323032
2299,337778
2300,313947
2301,299702
2302,257541
2303,243916
2304,246056
2305,209807
2306,204817
2307,217693
2308,223140
2309,270126
2310,218977
2311,223043
2312,189437
2313,187404
2314,179261
2315,195686
2316,212068
2317,199187
2318,191664
2319,192313
2320,185361
2321,247507
2322,199727
2323,187832
2324,202327
2325,222037
2326,186749
2327,212116
2328,231484
2329,202214
2330,201521
2331,333111
2332,337675
2333,297923
2334,257356
2335,273236
2336,299434
2337,201876
2338,270038
2339,233299
2340,356228
2341,240368
2342,236472
2343,244231
2344,221583
2345,233412
2346,211311
2347,202992
2348,237400
2349,193581
2350,300499
2351,251434
2352,254000
2353,269011
2354,144709
2355,145946
2356,164499
2357,201940
2358,194560
2359,132187
2360,107103
2361,156356
2362,259289
2363,130856
2364,177769
2365,223419
2366,195954
2367,210436
2368,219413
2369,207478
2370,181021
2371,161677
2372,197668
2373,279239
2374,302368
2375,225942
2376,293804
2377,302698
2378,153044
2379,227634
2380,142011
2381,190925
2382,220057
2383,211183
2384,253808
2385,169754
2386,126656
2387,126404
2388,102630
2389,123491
2390,145243
2391,147948
2392,103419
2393,169837
2394,137341
2395,219596
2396,137733
2397,222805
2398,140722
2399,53445
2400,55227
2401,109906
2402,138088
2403,145775
2404,155111
2405,174429
2406,136950
2407,122544
2408,152178
2409,114327
2410,191227
2411,103626
2412,153658
2413,119425
2414,146532
2415,138727
2416,115301
2417,115912
2418,126927
2419,128088
2420,123569
2421,143052
2422,107312
2423,132514
2424,166508
2425,260912
2426,156640
2427,129230
2428,196848
2429,93665
2430,126854
2431,115017
2432,143305
2433,142123
2434,136211
2435,160314
2436,99532
2437,87740
2438,115486
2439,115376
2440,123209
2441,103245
2442,99895
2443,138293
2444,154100
2445,74317
2446,140382
2447,204313
2448,135293
2449,107644
2450,162419
2451,140898
2452,199469
2453,82002
2454,132910
2455,143903
2456,120420
2457,123910
2458,121325
2459,97327
2460,161429
2461,117860
2462,134744
2463,119052
2464,180194
2465,136025
2466,110063
2467,160798
2468,81785
2469,71266
2470,212518
2471,210931
2472,175447
2473,110431
2474,72911
2475,223307
2476,90700
2477,107392
2478,160816
2479,98023
2480,149761
2481,120732
2482,122609
2483,92700
2484,132127
2485,115114
2486,155116
2487,235265
2488,166538
2489,159761
2490,148384
2491,88933
2492,198325
2493,169740
2494,155297
2495,76414
2496,254120
2497,147105
2498,99280
2499,86932
2500,121378
2501,127967
2502,155759
2503,93551
2504,205315
2505,228522
2506,269334
2507,287228
2508,267270
2509,233096
2510,230455
2511,184826
2512,213378
2513,232963
2514,245817
2515,151946
2516,187386
2517,152060
2518,162104
2519,228967
2520,222744
2521,193371
2522,237097
2523,113144
2524,144635
2525,147334
2526,139301
2527,100521
2528,116452
2529,143582
2530,130218
2531,257265
2532,233938
2533,214886
2534,238945
2535,279770
2536,245344
2537,235725
2538,193216
2539,197022
2540,196346
2541,196543
2542,173737
2543,126408
2544,109045
2545,146296
2546,132018
2547,152408
2548,157039
